name,agg_master_class,master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J203310.2+411322,YSO,Orion_V*,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.074±0.105,0.0±0.0,0.0±0.0,0.436±0.418,0.0±0.001,0.489±0.408,308.2927185165066,41.22305443106112
2CXO J173056.5-213627,XB,HMXB,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.685±0.336,0.023±0.032,0.0±0.0,0.264±0.312,0.004±0.006,0.023±0.03,262.73572052984207,-21.60774186426124
2CXO J203309.9+411326,YSO,Orion_V*,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.074±0.105,0.0±0.0,0.0±0.0,0.436±0.418,0.0±0.001,0.489±0.408,308.2914086397845,41.22396137003874
2CXO J203309.5+411300,YSO,Orion_V*,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.074±0.105,0.0±0.0,0.0±0.0,0.436±0.418,0.0±0.001,0.489±0.408,308.2899965314821,41.21690464287914
2CXO J155443.2-550345,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.544±0.386,0.002±0.002,0.454±0.386,238.68034491397657,-55.06263412590747
2CXO J203309.4+411258,YSO,Orion_V*,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.074±0.105,0.0±0.0,0.0±0.0,0.436±0.418,0.0±0.001,0.489±0.408,308.2893829277112,41.21628467582195
2CXO J155431.1-550935,XB,HMXB,3,0.01±0.014,0.022±0.031,0.015±0.015,0.0±0.0,0.894±0.135,0.058±0.076,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,238.62966222918067,-55.15973511567637
2CXO J155427.6-551013,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.007±0.009,0.006±0.002,0.0±0.0,0.0±0.0,0.539±0.32,0.275±0.208,0.173±0.127,238.6152706032342,-55.17038896598201
2CXO J102401.1-574531,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.014±0.019,0.0±0.0,0.0±0.0,0.595±0.39,0.013±0.018,0.378±0.385,156.0049544836562,-57.75863458279709
2CXO J045503.2+025527,AGN,AGN,3,0.035±0.037,0.448±0.271,0.117±0.126,0.091±0.129,0.304±0.426,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.004±0.005,73.76363948375979,2.924328139225066
