name,hard_master_class,soft_master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J132539.0-425653,HMXB,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.28±0.269,0.185±0.185,0.04±0.04,0.495±0.495,0.0±0.0,0.0±0.0,201.4127580168406,-42.94817581639589
2CXO J182430.7-244843,YSO,Orion_V*,2,0.0±0.0,0.0±0.0,0.002±0.002,0.0±0.0,0.124±0.123,0.012±0.001,0.001±0.001,0.272±0.216,0.028±0.016,0.56±0.107,276.1279651075089,-24.812178712230363
2CXO J182433.0-245210,TTau*,HMXB,2,0.0±0.0,0.006±0.006,0.001±0.001,0.006±0.006,0.488±0.274,0.078±0.078,0.022±0.022,0.009±0.003,0.386±0.386,0.004±0.004,276.1377265384472,-24.869617769528336
2CXO J130442.5-493449,YSO,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.508±0.492,0.0±0.0,0.0±0.0,0.412±0.412,0.002±0.002,0.079±0.079,196.17731158257584,-49.58039265944097
2CXO J050525.5-673857,AGN,QSO,2,0.338±0.108,0.332±0.093,0.2±0.049,0.011±0.003,0.116±0.059,0.0±0.0,0.003±0.002,0.0±0.0,0.0±0.0,0.0±0.0,76.35655134188204,-67.64934066075496
2CXO J045415.5+030133,TTau*,QSO,2,0.254±0.254,0.155±0.155,0.048±0.047,0.003±0.003,0.117±0.099,0.005±0.004,0.027±0.027,0.143±0.139,0.235±0.235,0.012±0.011,73.56470929619059,3.0260328088251773
2CXO J050521.8-674932,AGN,HMXB,2,0.0±0.0,0.335±0.307,0.0±0.0,0.0±0.0,0.662±0.308,0.002±0.0,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,76.34111972602255,-67.8257871299374
2CXO J050527.1-674313,LMXB,Orion_V*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.334±0.334,0.0±0.0,0.039±0.026,0.077±0.072,0.55±0.289,76.36319344270743,-67.72055428264011
2CXO J122932.7+075857,HMXB,QSO,2,0.36±0.283,0.256±0.019,0.054±0.054,0.017±0.017,0.291±0.29,0.016±0.016,0.001±0.0,0.0±0.0,0.005±0.005,0.0±0.0,187.386444298906,7.982537480170353
2CXO J124257.7+113607,QSO,AGN,2,0.369±0.157,0.421±0.013,0.058±0.04,0.004±0.004,0.091±0.047,0.028±0.028,0.026±0.026,0.001±0.001,0.0±0.0,0.0±0.0,190.7406293292895,11.602207343949242
2CXO J181931.6-135142,AGN,HMXB,2,0.04±0.038,0.215±0.114,0.0±0.0,0.028±0.028,0.29±0.128,0.133±0.037,0.281±0.035,0.003±0.003,0.004±0.003,0.006±0.003,274.88177878303327,-13.861705593302196
2CXO J051902.9-455316,LMXB,Seyfert_2,2,0.023±0.023,0.092±0.061,0.072±0.069,0.476±0.432,0.1±0.094,0.151±0.109,0.08±0.08,0.0±0.0,0.005±0.005,0.0±0.0,79.76211547291473,-45.88797306958762
2CXO J182118.4-161345,HMXB,Orion_V*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.475±0.475,0.0±0.0,0.0±0.0,0.023±0.012,0.001±0.0,0.501±0.486,275.3270609747736,-16.229331958920845
2CXO J124324.8+024444,Seyfert_2,QSO,2,0.341±0.318,0.109±0.109,0.044±0.044,0.272±0.27,0.016±0.01,0.075±0.075,0.014±0.014,0.005±0.005,0.124±0.124,0.0±0.0,190.8534762437207,2.7457006965848447
2CXO J050715.8-675617,Seyfert_1,QSO,2,0.461±0.091,0.028±0.015,0.254±0.18,0.043±0.007,0.052±0.035,0.086±0.063,0.047±0.028,0.0±0.0,0.0±0.0,0.028±0.026,76.81597918438615,-67.93810598902627
2CXO J125804.5-171728,HMXB,LMXB,2,0.016±0.015,0.145±0.046,0.111±0.002,0.018±0.005,0.275±0.132,0.327±0.212,0.09±0.087,0.017±0.017,0.0±0.0,0.0±0.0,194.51893921641863,-17.29115326344057
2CXO J125749.2-171623,HMXB,Orion_V*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.383±0.383,0.0±0.0,0.0±0.0,0.066±0.036,0.092±0.004,0.459±0.351,194.45508569381212,-17.273291877257886
2CXO J125053.7+410718,XB,HMXB,2,0.002±0.002,0.087±0.086,0.021±0.021,0.0±0.0,0.502±0.464,0.096±0.094,0.291±0.261,0.0±0.0,0.001±0.001,0.0±0.0,192.72379917331955,41.12182013256594
2CXO J125611.5+565326,AGN,QSO,2,0.567±0.119,0.405±0.123,0.013±0.011,0.0±0.0,0.005±0.002,0.004±0.003,0.007±0.002,0.0±0.0,0.0±0.0,0.0±0.0,194.04802372748577,56.89081857419085
2CXO J125048.6+410742,LMXB,Orion_V*,2,0.045±0.037,0.0±0.0,0.0±0.0,0.0±0.0,0.113±0.11,0.25±0.196,0.002±0.002,0.021±0.019,0.183±0.137,0.385±0.385,192.7025070421168,41.12844601526027
2CXO J125050.3+410712,Seyfert_1,HMXB,2,0.039±0.039,0.026±0.018,0.332±0.331,0.125±0.125,0.422±0.422,0.056±0.056,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,192.7096754459228,41.120020793715526
2CXO J125053.0+410710,Orion_V*,AGN,2,0.003±0.003,0.497±0.496,0.193±0.191,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.308±0.308,192.72097879188905,41.11970517271959
2CXO J190810.2-375629,XB,HMXB,2,0.001±0.001,0.083±0.032,0.006±0.002,0.009±0.004,0.578±0.261,0.047±0.031,0.265±0.263,0.007±0.004,0.005±0.004,0.0±0.0,287.04266309446825,-37.94154326971708
2CXO J125711.6-172433,YSO,Orion_V*,2,0.0±0.0,0.015±0.015,0.0±0.0,0.0±0.0,0.0±0.0,0.271±0.235,0.0±0.0,0.301±0.26,0.0±0.0,0.413±0.01,194.2985136910023,-17.40920238653448
2CXO J125536.4+565805,LMXB,AGN,2,0.041±0.036,0.336±0.336,0.027±0.026,0.01±0.01,0.128±0.047,0.241±0.229,0.108±0.085,0.024±0.017,0.006±0.006,0.079±0.017,193.90203336009824,56.96816272665219
2CXO J042844.0-534935,Seyfert_1,AGN,2,0.307±0.087,0.323±0.224,0.233±0.226,0.003±0.0,0.082±0.049,0.017±0.011,0.02±0.014,0.005±0.005,0.002±0.001,0.008±0.008,67.1834406890116,-53.826589622904
2CXO J042709.6+255411,AGN,HMXB,2,0.006±0.006,0.235±0.235,0.115±0.029,0.0±0.0,0.641±0.215,0.001±0.001,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,66.79027911288313,25.903231959119346
2CXO J043823.8-121257,Seyfert_2,Seyfert_1,2,0.21±0.02,0.072±0.07,0.445±0.192,0.261±0.254,0.007±0.007,0.001±0.001,0.004±0.004,0.0±0.0,0.0±0.0,0.0±0.0,69.59950965868848,-12.216034355018603
2CXO J043934.4+051949,XB,Seyfert_1,2,0.001±0.001,0.059±0.055,0.346±0.235,0.018±0.003,0.271±0.071,0.077±0.07,0.227±0.176,0.0±0.0,0.0±0.0,0.0±0.0,69.89367993115906,5.330304604623088
2CXO J045359.0+025037,AGN,Seyfert_1,2,0.231±0.028,0.237±0.094,0.245±0.045,0.032±0.032,0.011±0.003,0.134±0.127,0.103±0.025,0.002±0.002,0.002±0.002,0.003±0.003,73.4962376421874,2.8436781186422904
2CXO J125705.3-172630,Seyfert_1,AGN,2,0.312±0.283,0.358±0.023,0.286±0.262,0.011±0.011,0.008±0.008,0.024±0.024,0.002±0.002,0.0±0.0,0.0±0.0,0.0±0.0,194.27226269592984,-17.441795671763803
2CXO J045342.9+025144,Seyfert_1,XB,2,0.039±0.039,0.021±0.016,0.264±0.263,0.189±0.189,0.044±0.044,0.11±0.11,0.311±0.31,0.021±0.021,0.001±0.001,0.001±0.001,73.42875942447648,2.862456504962682
2CXO J044037.2+502741,HMXB,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.284±0.284,0.0±0.0,0.0±0.0,0.579±0.421,0.003±0.003,0.133±0.133,70.15530620103999,50.46144299670385
