,name,obsid,cluster,ra,dec,main_type,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*
0,2CXO J000010.0-501526,11997,1,0.0418034754126779,-50.25740005422238,QSO,0.7109412459295301,0.19985909199816349,0.038177627368053274,0.0011982804271644918,0.020875726801708242,0.004708967652109536,0.02350090877452088,0.00017914208047512561,0.00021040742667120533,0.0003486015416036518
1,2CXO J000019.8-245030,13394,2,0.0828139890021475,-24.841752102255917,QSO,0.7841575013742427,0.21156979846705898,0.004237417866207381,8.312876994908854e-06,2.696935464112594e-05,9.165580645405899e-15,6.044465754592249e-11,5.343042200531293e-18,1.1064654485177549e-14,3.900978992137842e-13
2,2CXO J000025.4-245419,13394,1,0.1062457877249016,-24.905299695823373,Seyfert_1,4.459738093493856e-05,0.0001858106374792964,0.6535472280419877,0.346222195921362,3.4578042422114006e-08,1.228568001050998e-07,1.7118150842649467e-10,1.2543923591796752e-14,1.0324738276447509e-08,8.74610752097379e-11
3,2CXO J000027.4-500421,11742,1,0.1143034167072301,-50.07266878068802,AGN,0.00018237807833728658,0.8045686745664247,0.061976606272365634,3.051579692564778e-10,0.11883989999936224,0.010342587066159988,0.004089509119139425,1.3276910591711377e-08,3.2410631961824135e-07,7.209822533565012e-09
4,2CXO J000027.4-500421,11997,1,0.1143034167072301,-50.07266878068802,Seyfert_1,0.04029002473159662,0.0043025569254107705,0.8071425268494258,1.1097413474281559e-05,0.000402093270919502,0.022805385001419466,0.0007153601161567141,0.0011983493783007558,0.11847443458799888,0.004658171725297214
5,2CXO J000028.5+623053,2810,3,0.1191487353499951,62.51496049650319,AGN,0.002199852635277983,0.7341143253245426,1.090843531455505e-05,2.9071292681724604e-07,0.004578092738544962,0.2590945833356494,6.0833643518120014e-31,1.9353619708111247e-06,2.664323755907563e-17,1.145577280276735e-08
6,2CXO J000031.1-500914,11997,0,0.1297210125136416,-50.15397038136575,Orion_V*,5.149786058808906e-58,7.325790708279915e-25,2.2120786398693105e-33,0.0,2.709021372475032e-09,6.852282646941675e-11,2.9756808003737345e-85,0.27625031732171995,0.16604380100732646,0.5577058788934094
7,2CXO J000031.8-245458,13394,5,0.1327731853477871,-24.91620991322102,QSO,0.4335578114760959,0.00625152322257031,0.0018965831491187044,8.076405418107504e-06,0.33054731924762965,0.053317140429458836,0.17440156128924178,1.301537441488932e-05,9.512215684738936e-08,6.874283895006355e-06
8,2CXO J000047.6-551937,7061,2,0.1984060146581896,-55.32712156322695,QSO,0.7616868568691116,0.059758865781029465,0.17855204553421591,2.2293877236264616e-06,2.421505586554709e-09,1.3820071172157713e-32,4.483055248022109e-23,4.332368186214067e-22,6.702311596826009e-26,6.413816749502426e-12
9,2CXO J000058.9-245449,13394,1,0.2458000964873008,-24.9138030954695,QSO,0.6777464814005479,0.29864855965834264,0.020527189456945788,3.545975299706798e-05,0.00020023153316505677,7.983729258152748e-06,0.0001167346676767802,0.0010992702369986408,0.0001818076257208533,0.0014362819383470634
10,2CXO J000107.7-501348,11997,1,0.2823051715106999,-50.23024163624799,Seyfert_1,0.2638077199855263,0.06247704737406611,0.6280241074042118,0.00876724967770155,0.006107413287736529,0.00824453591948321,0.02182217140351953,4.7956052204184104e-05,0.0006502954670744519,5.150342847615541e-05
11,2CXO J000109.1-245614,13394,1,0.2881188455745587,-24.93742022394657,HMXB,1.6973694341317385e-06,0.002238814824179273,5.4526038811498506e-08,1.3477824182063844e-07,0.9977563809088483,1.9343500608429174e-06,3.968242036933338e-08,2.247196069176183e-07,3.988330253516927e-07,3.2000814435053994e-07
12,2CXO J000132.1-245809,13394,5,0.3840423969364792,-24.96942745494688,YSO,0.1278168056101978,3.389279744124091e-13,2.720956326292112e-07,0.0015503141806055647,0.32182910890331334,0.0057798531355247144,9.445766051244875e-35,0.5423952996155454,0.0006039720793306389,2.437437951095119e-05
13,2CXO J000134.9+233540,14898,1,0.3957036902349387,23.59453463733828,HMXB,0.008272389866449735,0.16548259818897762,0.003941270199228812,1.2988710495176727e-05,0.5268517370795293,0.04442509644442748,0.2498181202029981,0.0006949760028465412,6.8154407858781e-05,0.0004326688971886713
14,2CXO J000136.1+130639,6978,5,0.4004398019434347,13.110959521781387,Orion_V*,2.377090939909361e-08,1.0512622169647866e-24,4.413282836105304e-10,3.686653119126304e-34,1.8476068956510746e-05,0.004300445972266063,4.733181496276168e-08,0.29413564339805337,0.26402490255916633,0.4375204604575051
15,2CXO J000136.1+130639,8491,0,0.4004398019434347,13.110959521781387,HMXB,2.547740893740004e-220,2.7157814393708746e-106,4.406096807983492e-175,0.0,0.9824406115758602,5.192808505548381e-05,7.042504342783699e-139,0.015304216112033649,0.0018981811172977233,0.0003050631097530549
16,2CXO J000144.7+131150,6978,1,0.4364929251784701,13.197253444560632,QSO,0.6790570357949538,0.10552399944675422,0.1906657840918801,6.612129178048603e-06,7.704610026384281e-05,0.00012156226955327153,0.00017431979262748265,1.5541501607409566e-05,0.024237239456016246,0.00012085941716555112
17,2CXO J000144.7+131150,8491,2,0.4364929251784701,13.197253444560632,LMXB,0.16963739913378748,0.0862859652051483,0.03347682270568952,9.115891882398001e-11,0.017921731165986686,0.6500074736030684,0.04242301184037419,6.818774216556779e-05,3.615301402012655e-06,0.00017579321121900725
